,,Total Population in thousands,,,,,,,,,,,,,,,,,
Index,Country,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
228,Brazil,  207 848,  215 997,  222 976,  228 663,  233 006,  236 015,  237 744,  238 270,  237 686,  236 014,  233 297,  229 664,  225 267,  220 413,  215 337,  210 255,  205 198,  200 305
144,Russian Federation,  143 457,  142 898,  141 205,  138 652,  135 674,  132 892,  130 588,  128 599,  126 655,  124 604,  122 534,  120 728,  119 439,  118 741,  118 471,  118 281,  117 938,  117 445
98,India, 1 311 051, 1 388 859, 1 461 625, 1 527 658, 1 585 350, 1 633 728, 1 673 619, 1 705 333, 1 729 354, 1 745 182, 1 752 843, 1 753 604, 1 747 946, 1 737 150, 1 722 039, 1 704 073, 1 683 339, 1 659 786
79,China, 1 376 049, 1 402 848, 1 414 872, 1 415 545, 1 408 316, 1 394 715, 1 374 657, 1 348 056, 1 315 148, 1 276 757, 1 236 664, 1 197 533, 1 159 645, 1 122 569, 1 087 074, 1 055 073, 1 028 080, 1 004 392
57,South Africa,  54 490,  56 669,  58 436,  60 034,  61 551,  63 001,  64 348,  65 540,  66 493,  67 183,  67 636,  67 865,  67 878,  67 703,  67 374,  66 920,  66 355,  65 696
